"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C22,C23,C1,C24,C2,C27,C26,C9,C4,C8,C5,C3,C7,C6,C21,C25";"C_0603_1608Metric";16;"100n";;;
2;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
3;"R3,R2,R1";"R_0805_2012Metric";3;"4.7k";;;
4;"mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot";"mouse-bite-2mm-slot";18;"VAL**";;;
5;"J8,J1,J5,J4,J6,J2,J7,J3";"castello";8;"Conn_02x08_Counter_Clockwise";;;
6;"PMOD1";"pmod_pin_array_6x2";1;"PMOD-Device-x2-Type-1A-GPIO_1";;;
7;"C14,C11,C15,C12,C10,C13";"C_0805_2012Metric";6;"100n";;;
8;"U8,U4,U7,U5,U3,U10,U6,U9";"PQFN50P450X300X100-16N";8;"BMI088";;;
9;"U1";"10LGA_2X2X0p75_BOS";1;"BMP390";;;
10;"CON1";"MIKROBUS_HOST_CONN";1;"MIKROBUS_HOST_CONN_IN_GND";;;
11;"U2";"PQFN50P450X300X100-16N";1;"BMI088";;;
