Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,100n,C_0603_1608Metric,101.600000,-47.498000,0.000000,top
C2,100n,C_0603_1608Metric,101.600000,-54.610000,0.000000,top
C3,100n,C_0603_1608Metric,101.600000,-87.630000,0.000000,top
C4,100n,C_0603_1608Metric,101.600000,-94.742000,0.000000,top
C5,100n,C_0603_1608Metric,163.322000,-47.498000,0.000000,top
C6,100n,C_0603_1608Metric,163.322000,-54.610000,0.000000,top
C7,100n,C_0603_1608Metric,163.322000,-87.630000,0.000000,top
C8,100n,C_0603_1608Metric,163.322000,-94.742000,0.000000,top
C9,100n,C_0805_2012Metric,131.470400,-94.081600,0.000000,top
C10,100n,C_0805_2012Metric,141.427200,-53.883600,-90.000000,top
C11,100n,C_0805_2012Metric,128.347400,-55.058600,-90.000000,top
C12,100n,C_0805_2012Metric,127.457200,-63.383200,90.000000,top
C13,100n,C_0805_2012Metric,134.416800,-63.891200,90.000000,top
C14,100n,C_0805_2012Metric,134.620000,-54.798000,-90.000000,top
R1,4.7k,R_0805_2012Metric,141.224000,-58.570500,90.000000,top
R2,4.7k,R_0805_2012Metric,131.414400,-75.219100,90.000000,top
R3,4.7k,R_0805_2012Metric,134.391400,-75.219100,90.000000,top
U1,BMP390,10LGA_2X2X0p75_BOS,131.347400,-56.896000,-90.000000,top
U2,BMI088,PQFN50P450X300X100-16N,131.343400,-64.373600,-90.000000,top
U3,BMI088,PQFN50P450X300X100-16N,101.590000,-51.039000,-90.000000,top
U4,BMI088,PQFN50P450X300X100-16N,101.590000,-91.171000,-90.000000,top
U5,BMI088,PQFN50P450X300X100-16N,163.312000,-51.039000,-90.000000,top
U6,BMI088,PQFN50P450X300X100-16N,163.312000,-91.171000,-90.000000,top
